"","d","d_obs","cohens_d","response","resp","p"
"1",0.0708953967568391,0.423263993856405,0.645145358002923,"n",0,0.167918297120158
"2",-0.550087708437762,0.547543252277354,0.774083340392543,"y",1,0.100387250853383
"3",1.68454776990931,1.41961987082356,1.99045385742537,"y",1,0.000104607288768276
"4",-1.33790560760677,1.02662616584908,1.69059427034001,"n",0,0.000714559612319063
"5",0.443848621846736,0.399424364820163,0.583832014084748,"n",0,0.211387538261572
"6",0.741089851710411,1.02695081647858,1.74158646247544,"y",1,0.00053128785449778
"7",-0.0683798431755908,0.157235882682934,0.214833571111585,"n",0,0.642304108809519
"8",-1.55709897980375,1.23589738320922,1.60590542663685,"y",1,0.00120537995108606
"9",1.46005125779805,1.71468867803867,2.37898285336967,"y",1,0.00000783729152451437
"10",0.682973771542406,0.808480545426696,1.06589858858596,"y",1,0.025635019641929
"11",1.61748197122391,1.51362526506634,2.87507019364171,"y",1,0.000000250651205062268
"12",-0.814079462052342,0.259438605736397,0.391569362047769,"n",0,0.398942329968796
"13",0.744505866212459,0.668439855735859,0.873909976599252,"y",1,0.0644553844378583
"14",-0.201495176320477,0.0826851210081179,0.112215829997845,"y",1,0.808149565833713
"15",-0.536713307576593,0.626143941959685,0.91484141427024,"n",0,0.0536358341235988
"16",-0.502691208947098,0.365925798270864,0.643474947882479,"n",0,0.168907007601179
"17",-1.18357781205419,1.66625386629549,2.22145708897858,"y",1,0.0000220553694256957
"18",0.950354992568851,1.39659680178597,1.71623360952911,"y",1,0.000615326000250011
"19",0.476380086859171,0.406664418608286,0.554238751786443,"n",0,0.234703188914104
"20",-1.00725480023615,0.882859237465176,1.09702649640876,"n",0,0.0218683085991344
"21",-0.601530949182401,0.723903444099766,1.18719188270847,"y",1,0.0145958045236543
"22",-0.00882041643026637,0.00259228884411933,0.00384628436952612,"n",0,0.99335552906158
"23",-0.292208313557803,0.246666935494862,0.33596449613978,"n",0,0.468666525826341
"24",-0.941252846570633,0.698623066490242,0.981227781290672,"y",1,0.0390230031699461
"25",-1.25135070868131,1.42767053690113,1.79890365621463,"y",1,0.000373529760514419
"26",-0.857221900930694,1.16361944260127,1.60120811916329,"y",1,0.00126467718958656
"27",0.929074733480323,1.233463901957,1.92338590017829,"y",1,0.000168205020959019
"28",0.19982298835664,0.0655650672045002,0.0951104152997282,"y",1,0.836892709614797
"29",0.596526374733348,0.412878553483765,0.587427170773365,"n",0,0.20822123488873
"30",1.04532303208928,1.07578086704884,1.41614050488907,"y",1,0.00377096018480762
