"","d","d_obs","cohens_d","response","resp","p"
"1",-0.256639654391145,0.330331371628695,0.446226121021537,"n",0,0.337038995474047
"2",-0.267703619753289,0.178740161245397,0.265390844301442,"n",0,0.566404303745915
"3",-1.82878376701297,2.01521325066733,2.38572741381314,"y",1,0.00000905448745838747
"4",2.42076919644793,2.11693211924457,4.08294680827044,"y",1,0.0000000000828724219212599
"5",2.40376878867708,2.59556420118637,4.04930192012304,"y",1,0.000000000239722119191577
"6",-0.265456018087064,0.262532661832441,0.305042311912224,"n",0,0.510178214079017
"7",0.264896172287303,0.441743644011978,0.651661753212488,"n",0,0.164136509450065
"8",-1.20587776147819,1.0133557351656,1.63904440589017,"n",0,0.00116144801338234
"9",-0.508146945315134,0.914613269517409,1.31712270792718,"n",0,0.00666886303224257
"10",2.45336736887236,2.65966094400856,4.19461295800028,"y",1,0.0000000000389454660653089
"11",-0.487864680379356,0.838141933228908,1.46623225330463,"n",0,0.00282575253002284
"12",1.20179768920533,1.51765877560622,2.50796916645003,"y",1,0.00000365546162026731
"13",-0.0089299408120238,0.346037315169675,0.476098566391211,"n",0,0.306100317338094
"14",0.875358962985051,0.866826073439927,1.39777607842663,"n",0,0.00420045024565242
"15",0.137710177505132,0.38108692537054,0.474586441940914,"n",0,0.307610767902691
"16",-0.743270400877845,0.496220297199417,0.6806976255611,"y",1,0.146238400539179
"17",-0.437325826866045,0.622350538939368,0.923097723989965,"n",0,0.0519519677042074
"18",0.266784349497145,0.263906904537419,0.442958688399257,"n",0,0.341532371879362
"19",-0.552848976287462,0.450296188089781,0.802368052720059,"n",0,0.0884151782879295
"20",0.588001837723833,0.493710576687475,0.663351368997131,"n",0,0.15649556269592
"21",-0.756527000208946,0.985999765235466,1.28807223682971,"y",1,0.00784329158173246
"22",-1.27813820719293,1.12575553166635,1.93634663233252,"y",1,0.000146343014618041
"23",-0.848770639248287,0.778389631979917,1.26371125486204,"n",0,0.00908437051155547
"24",-0.54781820242933,0.606875230576474,0.856858716664637,"n",0,0.0699182008024178
"25",-1.74703605941122,1.53799284731161,2.10788821046839,"y",1,0.000047115042124906
"26",0.300083550478679,0.402515841231849,0.592323542647285,"n",0,0.204559868114886
"27",-1.47602850560727,0.963258374571044,1.65942352725367,"n",0,0.000890861902275772
"28",1.00125582797629,1.16794619259641,1.58832562465592,"y",1,0.00136115341039198
"29",-0.373798644036102,0.316149342210652,0.466302303768913,"n",0,0.316194204839056
"30",1.49530175066709,1.9855454097725,2.88363282098586,"y",1,0.000000253813533834355
