"","d","d_obs","cohens_d","response","resp","p"
"1",-0.0747186778531366,0.562765228096147,0.854955457025666,"n",0,0.0708221567983759
"2",-1.867741311282,1.88590395102157,2.37924619967904,"y",1,0.00000790380705038526
"3",-0.540959753840136,0.465462460086626,0.738356277037522,"n",0,0.11584794976296
"4",-0.10922836393745,0.409948768810904,0.647782869417099,"h",0,0.16618526590562
"5",1.12477374082164,1.06488109660078,2.09126313118815,"h",0,0.0000565766160699358
"6",-0.16477110128964,0.453541595026261,0.671594403544852,"n",0,0.151517032874648
"7",-0.280256012757716,0.182305644532204,0.221559039226185,"n",0,0.632279119516763
"8",1.30355261023108,1.10066582586711,1.46741135537449,"n",0,0.00283829674198649
"9",0.629154402281541,0.748035777207413,1.0377976507062,"n",0,0.0298586397247756
"10",0.871209942969612,1.29110643527538,1.91864036812462,"y",1,0.000243262409910225
"11",-0.81262735815714,1.51458233860991,2.03558112982366,"y",1,0.000075846861469467
"12",-0.180507299202839,0.0611066704353139,0.0853551727489309,"n",0,0.853412885152637
"13",-0.456246299211231,1.15705389442301,1.40915419108032,"n",0,0.00392941916465393
"14",-0.445182767200423,0.0212153412391679,0.0305945476419556,"n",0,0.947186633305994
"15",-0.479640138347655,1.15265891274013,2.08154133118086,"y",1,0.0000575689970939398
"16",-1.04296452696538,0.499130181923491,0.697217857144402,"n",0,0.137482025754907
"17",0.664715721642357,0.644337831131132,1.00770061154131,"n",0,0.0345331328086974
"18",-0.741926159680959,1.20704235810056,1.56032968096213,"n",0,0.0016357422598571
"19",0.335395480211999,0.845173033009048,1.09829773291178,"n",0,0.0225490993726508
"20",0.882684086630719,0.665440176705368,0.924410345097012,"n",0,0.0514536676179674
"21",-0.336454413226715,0.757337349568205,1.07584726360096,"n",0,0.0243955368645928
"22",0.417052024139813,0.628016580424204,0.999566019579895,"n",0,0.0365254083135585
"23",0.0489958354313181,0.0772262709232654,0.105332547214851,"n",0,0.819664344689088
"24",2.07836084347426,2.07201442158812,3.19547327486083,"y",1,0.0000000313280358858578
"25",-2.07609310883174,2.46883679445249,3.69278109648727,"y",1,0.00000000125507447804691
"26",1.26092287728835,1.34317451159488,2.14503577914765,"n",0,0.0000364474632160278
"27",0.503917179350498,0.744885098998843,1.10561957199273,"n",0,0.0212138294789095
"28",0.778743995514039,1.16465047922988,1.52955182744651,"y",1,0.00203712331752685
"29",-0.906468181063304,0.265240326339463,0.3831646280815,"n",0,0.409117442669165
"30",-1.03903367249563,1.23401328431904,1.98798062434725,"y",1,0.000114851609574728
