"","d","d_obs","cohens_d","response","resp","p"
"1",-0.872952701836746,0.752500191656386,1.15230802904657,"y",1,0.0169262453018232
"2",-0.340134785382132,0.463917984926901,0.652832078711645,"n",0,0.1637441369761
"3",-0.64917439955381,0.394406045126574,0.643137885306648,"n",0,0.16924569630572
"4",0.351006469522141,0.285323476171173,0.485725849921963,"n",0,0.296519570195068
"5",0.234443298106329,0.360099155284335,0.579789416366627,"n",0,0.215211413514913
"6",0.748206854189807,0.254542505596319,0.315734329405749,"n",0,0.495552610895292
"7",0.288136655844761,0.932922067373319,1.46263838730228,"y",1,0.00286936056374984
"8",-0.0605981905007867,0.0296145930082159,0.0404651061220685,"n",0,0.930195148316072
"9",0.689435510719928,0.420407373372733,0.656831776038097,"n",0,0.160497830170181
"10",-0.949577322521634,1.10796722251971,1.64602367929145,"y",1,0.00106090838725488
"11",-1.60566603579795,1.83232445681132,3.05130411792279,"y",1,0.0000000760681886674779
"12",-0.912180226257069,1.41097021652992,1.83968574906238,"y",1,0.000274718273198991
"13",1.42159822684357,1.52442378623119,1.92635814134842,"y",1,0.000162192771039058
"14",-1.04851483805065,1.22905794888402,1.607252614403,"y",1,0.00121294375978682
"15",1.53319171751851,1.29618650940169,1.73506699752852,"y",1,0.000540065756996794
"16",-0.310839338092113,0.807979826458065,1.10767956855757,"n",0,0.0207384431276658
"17",-1.49055010074367,1.51933148740398,2.51251738561403,"y",1,0.00000386136614930087
"18",-0.471801597676328,0.651429943367097,0.943765502952421,"n",0,0.0466211240797046
"19",-0.785855285111491,1.08945680288194,1.65711375702786,"y",1,0.000913973596412136
"20",0.892817430828792,0.685961434376575,1.09902202761671,"n",0,0.0217513150807742
"21",0.565894494744637,0.420691245607687,0.623780468902463,"n",0,0.182997227563639
"22",-0.66614892552859,0.969170703754322,1.59297276969094,"y",1,0.00130508095152449
"23",2.30955303803167,2.2977374460414,2.613455689928,"y",1,0.00000167648218347984
"24",1.55206705027122,0.950206404687025,1.44400946142625,"n",0,0.00325573307836422
"25",1.60125570814098,1.76273031853076,2.90368157713253,"y",1,0.000000229885315377518
"26",0.659724284844971,0.660411860228977,0.943188944348938,"n",0,0.0467383150340362
"27",-0.0589896111859339,0.346265289800338,0.584108374083957,"n",0,0.210894331314364
"28",-0.531242848586379,0.228707569297891,0.300132307032793,"n",0,0.517159461437461
"29",-0.134107241789765,0.307128410132517,0.426406308760663,"n",0,0.359824856239868
"30",-0.402902980852748,0.300392693717763,0.445593113903049,"n",0,0.338124168089453
