"","id","condition","stimulus","d_mu_obs","d_sd_obs","cohens_d","p","bf","ksp","resp"
"1","mv","bar",1,0.766506228479697,-0.0846925368484011,1.24179985808265,0.00381995479099898,2.34342993636698,0.0148380846058485,1
"2","mv","dot",2,1.21751743532613,0.0854342831282203,1.92388482265302,2.16152238882753e-05,6.74324469758693,0.000162522409463572,1
"3","mv","bar",3,1.71205961061874,-0.107199526593023,2.50216650873147,1.6598271448665e-07,11.1450690936468,3.96396120641018e-05,1
"4","mv","bar",4,0.389462217592997,-0.0941011141754783,0.601480824362985,0.147258165194836,-0.380724316697818,0.155760252006193,1
"5","mv","dot",5,0.749158497527159,0.47004851490508,1.08271385074733,0.0114406562545419,1.51544973193149,0.0356113702764075,1
"6","mv","dot",6,0.786199434803575,0.0585697574686077,1.08874934500843,0.0104137988533137,1.54518853780825,0.0778983654919732,1
"7","mv","bar",7,0.0592528708279114,-0.0862326003269284,0.0845889671455081,0.836736690657641,-1.24582462251567,0.914993219397903,0
"8","mv","dot",8,0.450679122670704,0.12992467916965,0.68149525317162,0.101685007883807,-0.134319145983257,0.0148380846058485,0
"9","mv","dot",9,0.250046304305831,-0.0414059118840684,0.369175415138389,0.370365364855887,-0.928309758654828,0.285042147695836,0
"10","mv","dot",10,0.131465483918096,0.233205225400704,0.209875315893772,0.609703411537486,-1.15482406324799,0.155760252006193,0
"11","mv","bar",11,0.540919958234728,0.053990214452128,0.823026852497003,0.0494344518099735,0.371017084385778,0.155760252006193,1
"12","mv","bar",12,0.417523470052367,-0.0647322539961943,0.605124171195798,0.144838418996326,-0.370135370042588,0.475453501819058,1
"13","mv","dot",13,0.239897903190679,0.0161458870769395,0.309982734500394,0.451387102068914,-1.02685033172575,0.914993219397903,0
"14","mv","dot",14,0.201261469979867,0.339071904900035,0.303056253645235,0.461939232954342,-1.03727468822301,0.995531553175167,0
"15","mv","dot",15,0.0702860985950126,0.0970888322939715,0.104301712954939,0.799450223542514,-1.23662938683184,0.914993219397903,0
"16","mv","dot",16,1.05951865167424,0.0622514997611616,1.99502159104516,1.19888552130531e-05,7.2616576888091,0.000590990579867112,1
"17","mv","bar",17,3.23076283956381,-0.0281569574958449,5.16079311829395,7.02880674292698e-17,31.5172978542967,1.93811633408814e-11,1
"18","mv","bar",18,0.27810907461726,0.0739270912871246,0.379406085961283,0.357379937183447,-0.909568709358113,0.914993219397903,0
"19","mv","dot",19,0.429594269031976,-0.0144261870708662,0.543721883336733,0.189203276754834,-0.540451548878984,0.475453501819058,0
"20","mv","dot",20,0.197701466144878,0.0492206925734233,0.253070553376809,0.538265121309178,-1.10559532906942,0.710203899707662,0
"21","mv","bar",21,0.276976261158305,-0.0951086903066986,0.451574576923743,0.274247645079298,-0.763161930766194,0.475453501819058,0
"22","mv","bar",22,0.973991634079187,0.255436834467468,1.25427944279227,0.00357458831403319,2.41212737164897,0.0356113702764075,1
"23","mv","dot",23,0.0916688138162502,-0.136178994636081,0.112229847839818,0.784584054079722,-1.23239085050341,0.710203899707662,0
"24","mv","bar",24,1.99736579641276,-0.127367816194148,2.99216138347106,2.53850087789898e-09,15.0573817819251,3.35218706126739e-08,1
"25","mv","dot",25,0.121786368880556,0.205160193360954,0.192192337425247,0.640040737203585,-1.17234328883393,0.995531553175167,0
"26","mv","dot",26,0.544284451562928,0.14959953306205,0.751069339117677,0.0721215527842482,0.10318319043534,0.285042147695836,0
"27","mv","dot",27,0.321522889375761,-0.262205656526734,0.505793221447974,0.221872766344006,-0.636937740482452,0.710203899707662,0
"28","mv","dot",28,1.46312363629228,-0.321240549864124,2.0930117894883,6.43985130831166e-06,7.98866986253427,0.000162522409463572,1
"29","mv","bar",29,1.20789925676455,-0.144425011812741,1.65092837751924,0.000193436648588234,4.8429435528791,0.00192071938456817,1
"30","mv","dot",30,0.26392620434406,-0.0610269897843488,0.373202926017971,0.365220099577678,-0.920991907693365,0.914993219397903,0
"31","mv","dot",31,0.142998574181781,-0.271474575283988,0.190409901838936,0.643163846078119,-1.17402417695791,0.475453501819058,0
"32","mv","bar",32,0.831825044547482,0.161347102462731,1.10133977776712,0.0096662223857898,1.60766257884118,0.0356113702764075,1
"33","mv","bar",33,1.45518807305795,0.0607077288638846,2.27105676286537,1.17153693471387e-06,9.34188954998744,3.96396120641018e-05,1
"34","mv","dot",34,0.566250055036099,-0.0741132390552114,0.962883636719812,0.0224973409026586,0.953843496060489,0.0356113702764075,0
"35","mv","dot",35,0.99383057990904,-0.295738619428976,1.28772617098887,0.00286909764522139,2.59881086125815,0.00561441050794631,1
"36","mv","bar",36,0.208334431669573,-0.205377831408254,0.253206563330861,0.538128815390929,-1.10542593062668,0.710203899707662,1
"37","mv","dot",37,1.30722797377153,-0.178007900041179,1.9011424503576,2.70243083742002e-05,6.5793221032453,0.000590990579867112,1
"38","mv","dot",38,0.757703969607699,-0.0698846271741419,1.13261433690045,0.00787062146937704,1.76537920066992,0.00561441050794631,1
"39","mv","dot",39,0.171378028825978,-0.117971813240139,0.301593316487863,0.463729857299528,-1.03944666640053,0.914993219397903,0
"40","mv","bar",40,0.156642408758252,-0.488598749215158,0.224821750657657,0.584959318138906,-1.13882184982678,0.710203899707662,1
"41","mv","dot",41,1.00648373944434,0.200154456193717,1.34116142475604,0.00194407054104292,2.90463481580337,0.0356113702764075,0
"42","mv","bar",42,0.470121932931439,-0.459046235695414,0.695593844744825,0.0962264808001463,-0.0879211624520497,0.0778983654919732,1
